COUNTYFIPS,COUNTY,STATE,rucc_2013_code,community_type,nchs_urban_rural_code
9261,County_9261,Florida,9.0,Rural,6.0
33417,County_33417,North Carolina,6.0,Rural,5.0
1695,County_1695,Alabama,6.0,Rural,5.0
28741,County_28741,Nevada,4.0,Suburban/Small City,4.0
37117,County_37117,Oregon,7.0,Rural,5.0
56427,County_56427,Other,2.0,Urban,2.0
42739,County_42739,Tennessee,9.0,Rural,6.0
2843,County_2843,Alaska,3.0,Urban,3.0
36055,County_36055,Oklahoma,3.0,Urban,3.0
11739,County_11739,Hawaii,8.0,Rural,6.0
3197,County_3197,Arizona,8.0,Rural,6.0
33939,County_33939,North Carolina,1.0,Urban,1.0
38811,County_38811,Pennsylvania,9.0,Rural,6.0
50149,County_50149,Wyoming,6.0,Rural,5.0
31755,County_31755,New Mexico,4.0,Suburban/Small City,4.0
48027,County_48027,West Virginia,3.0,Urban,3.0
56975,County_56975,Other,2.0,Urban,2.0
11023,County_11023,Hawaii,8.0,Rural,6.0
47603,County_47603,Washington,2.0,Urban,2.0
32545,County_32545,New York,8.0,Rural,6.0
48951,County_48951,West Virginia,1.0,Urban,1.0
12941,County_12941,Idaho,7.0,Rural,5.0
29835,County_29835,New Hampshire,7.0,Rural,5.0
28877,County_28877,Nevada,6.0,Rural,5.0
40139,County_40139,South Carolina,9.0,Rural,6.0
55031,County_55031,Other,9.0,Rural,6.0
51729,County_51729,Other,9.0,Rural,6.0
56219,County_56219,Other,2.0,Urban,2.0
10217,County_10217,Georgia,2.0,Urban,2.0
39397,County_39397,Rhode Island,7.0,Rural,5.0
27187,County_27187,Nebraska,8.0,Rural,6.0
53441,County_53441,Other,9.0,Rural,6.0
43713,County_43713,Texas,1.0,Urban,1.0
32867,County_32867,New York,6.0,Rural,5.0
34531,County_34531,North Dakota,9.0,Rural,6.0
23543,County_23543,Minnesota,4.0,Suburban/Small City,4.0
28911,County_28911,Nevada,2.0,Urban,2.0
23923,County_23923,Minnesota,7.0,Rural,5.0
56329,County_56329,Other,1.0,Urban,1.0
6253,County_6253,Colorado,1.0,Urban,1.0
30691,County_30691,New Jersey,2.0,Urban,2.0
52325,County_52325,Other,8.0,Rural,6.0
55517,County_55517,Other,8.0,Rural,6.0
5805,County_5805,California,1.0,Urban,1.0
23243,County_23243,Minnesota,6.0,Rural,5.0
55125,County_55125,Other,8.0,Rural,6.0
21441,County_21441,Massachusetts,2.0,Urban,2.0
9001,County_9001,Florida,8.0,Rural,6.0
19807,County_19807,Maine,7.0,Rural,5.0
34247,County_34247,North Dakota,1.0,Urban,1.0
27585,County_27585,Nebraska,2.0,Urban,2.0
11447,County_11447,Hawaii,1.0,Urban,1.0
8341,County_8341,Delaware,9.0,Rural,6.0
49733,County_49733,Wisconsin,3.0,Urban,3.0
41359,County_41359,South Dakota,3.0,Urban,3.0
54961,County_54961,Other,1.0,Urban,1.0
31503,County_31503,New Mexico,9.0,Rural,6.0
14791,County_14791,Indiana,7.0,Rural,5.0
33477,County_33477,North Carolina,6.0,Rural,5.0
56141,County_56141,Other,3.0,Urban,3.0
1363,County_1363,Alabama,8.0,Rural,6.0
44571,County_44571,Utah,1.0,Urban,1.0
14255,County_14255,Indiana,7.0,Rural,5.0
56709,County_56709,Other,9.0,Rural,6.0
23171,County_23171,Minnesota,4.0,Suburban/Small City,4.0
39457,County_39457,Rhode Island,8.0,Rural,6.0
12197,County_12197,Idaho,7.0,Rural,5.0
49845,County_49845,Wisconsin,9.0,Rural,6.0
48381,County_48381,West Virginia,8.0,Rural,6.0
39709,County_39709,Rhode Island,4.0,Suburban/Small City,4.0
40223,County_40223,South Carolina,9.0,Rural,6.0
9441,County_9441,Florida,1.0,Urban,1.0
14423,County_14423,Indiana,6.0,Rural,5.0
30565,County_30565,New Jersey,2.0,Urban,2.0
23479,County_23479,Minnesota,2.0,Urban,2.0
49315,County_49315,Wisconsin,1.0,Urban,1.0
41105,County_41105,South Dakota,2.0,Urban,2.0
46793,County_46793,Virginia,8.0,Rural,6.0
44109,County_44109,Utah,3.0,Urban,3.0
2933,County_2933,Alaska,7.0,Rural,5.0
9957,County_9957,Florida,2.0,Urban,2.0
2787,County_2787,Alaska,7.0,Rural,5.0
34335,County_34335,North Dakota,2.0,Urban,2.0
54463,County_54463,Other,8.0,Rural,6.0
46583,County_46583,Virginia,3.0,Urban,3.0
1573,County_1573,Alabama,3.0,Urban,3.0
13057,County_13057,Illinois,8.0,Rural,6.0
54617,County_54617,Other,7.0,Rural,5.0
8265,County_8265,Delaware,7.0,Rural,5.0
51595,County_51595,Other,6.0,Rural,5.0
12079,County_12079,Idaho,6.0,Rural,5.0
51677,County_51677,Other,8.0,Rural,6.0
28493,County_28493,Nevada,7.0,Rural,5.0
14961,County_14961,Indiana,4.0,Suburban/Small City,4.0
3159,County_3159,Arizona,3.0,Urban,3.0
55607,County_55607,Other,6.0,Rural,5.0
24679,County_24679,Mississippi,1.0,Urban,1.0
21725,County_21725,Massachusetts,1.0,Urban,1.0
42897,County_42897,Tennessee,6.0,Rural,5.0
41827,County_41827,South Dakota,5.0,Suburban/Small City,4.0
30667,County_30667,New Jersey,1.0,Urban,1.0
53823,County_53823,Other,4.0,Suburban/Small City,4.0
23893,County_23893,Minnesota,4.0,Suburban/Small City,4.0
24639,County_24639,Mississippi,2.0,Urban,2.0
4315,County_4315,Arkansas,8.0,Rural,6.0
4071,County_4071,Arkansas,1.0,Urban,1.0
43065,County_43065,Texas,2.0,Urban,2.0
12669,County_12669,Idaho,5.0,Suburban/Small City,4.0
48991,County_48991,West Virginia,9.0,Rural,6.0
21949,County_21949,Massachusetts,4.0,Suburban/Small City,4.0
27501,County_27501,Nebraska,8.0,Rural,6.0
6159,County_6159,Colorado,7.0,Rural,5.0
49449,County_49449,Wisconsin,8.0,Rural,6.0
39353,County_39353,Rhode Island,8.0,Rural,6.0
52567,County_52567,Other,7.0,Rural,5.0
2535,County_2535,Alaska,2.0,Urban,2.0
48527,County_48527,West Virginia,2.0,Urban,2.0
26307,County_26307,Montana,5.0,Suburban/Small City,4.0
33007,County_33007,North Carolina,8.0,Rural,6.0
55595,County_55595,Other,1.0,Urban,1.0
20833,County_20833,Maryland,5.0,Suburban/Small City,4.0
52685,County_52685,Other,1.0,Urban,1.0
10445,County_10445,Georgia,1.0,Urban,1.0
53153,County_53153,Other,1.0,Urban,1.0
29449,County_29449,New Hampshire,4.0,Suburban/Small City,4.0
43179,County_43179,Texas,7.0,Rural,5.0
39339,County_39339,Rhode Island,6.0,Rural,5.0
43705,County_43705,Texas,2.0,Urban,2.0
33745,County_33745,North Carolina,9.0,Rural,6.0
12335,County_12335,Idaho,1.0,Urban,1.0
23573,County_23573,Minnesota,3.0,Urban,3.0
46635,County_46635,Virginia,6.0,Rural,5.0
7151,County_7151,Connecticut,5.0,Suburban/Small City,4.0
8681,County_8681,Delaware,5.0,Suburban/Small City,4.0
29903,County_29903,New Hampshire,3.0,Urban,3.0
32979,County_32979,New York,5.0,Suburban/Small City,4.0
48115,County_48115,West Virginia,2.0,Urban,2.0
13469,County_13469,Illinois,9.0,Rural,6.0
14375,County_14375,Indiana,8.0,Rural,6.0
17185,County_17185,Kentucky,1.0,Urban,1.0
25895,County_25895,Missouri,3.0,Urban,3.0
11583,County_11583,Hawaii,7.0,Rural,5.0
24151,County_24151,Mississippi,8.0,Rural,6.0
24391,County_24391,Mississippi,4.0,Suburban/Small City,4.0
11237,County_11237,Hawaii,8.0,Rural,6.0
12221,County_12221,Idaho,8.0,Rural,6.0
20417,County_20417,Maryland,8.0,Rural,6.0
19595,County_19595,Maine,8.0,Rural,6.0
30269,County_30269,New Jersey,9.0,Rural,6.0
32165,County_32165,New York,5.0,Suburban/Small City,4.0
1353,County_1353,Alabama,3.0,Urban,3.0
33153,County_33153,North Carolina,5.0,Suburban/Small City,4.0
52779,County_52779,Other,1.0,Urban,1.0
38755,County_38755,Pennsylvania,3.0,Urban,3.0
