COUNTYFIPS,COUNTY,STATE,community_type,disability_rate_pct,child_disability_rate_pct,nonvet_disability_18_64_pct,vet_disability_18_64_pct
9261,County_9261,Florida,Rural,22.02,9.2,19.07,27.61
33417,County_33417,North Carolina,Rural,21.11,10.62,19.74,32.81
1695,County_1695,Alabama,Rural,30.73,16.46,27.43,34.74
28741,County_28741,Nevada,Suburban/Small City,26.54,14.98,17.77,34.45
37117,County_37117,Oregon,Rural,14.85,8.17,12.91,32.24
56427,County_56427,Other,Urban,13.62,7.43,11.1,27.29
42739,County_42739,Tennessee,Rural,14.75,6.33,13.43,32.26
2843,County_2843,Alaska,Urban,16.07,6.9,13.39,29.16
36055,County_36055,Oklahoma,Urban,27.09,15.37,23.27,32.03
11739,County_11739,Hawaii,Rural,18.72,10.1,15.4,19.17
3197,County_3197,Arizona,Rural,33.94,14.45,25.07,39.11
33939,County_33939,North Carolina,Urban,23.09,13.64,15.35,34.68
38811,County_38811,Pennsylvania,Rural,19.8,11.63,16.85,28.07
50149,County_50149,Wyoming,Rural,,7.88,19.04,28.27
31755,County_31755,New Mexico,Suburban/Small City,26.78,13.79,24.46,39.13
48027,County_48027,West Virginia,Urban,27.76,14.4,,33.83
56975,County_56975,Other,Urban,32.32,15.04,26.12,23.9
11023,County_11023,Hawaii,Rural,24.47,12.52,21.69,27.64
47603,County_47603,Washington,Urban,16.75,9.78,16.51,22.5
32545,County_32545,New York,Rural,33.25,17.77,29.09,45.16
48951,County_48951,West Virginia,Urban,18.9,11.36,17.17,26.86
12941,County_12941,Idaho,Rural,29.53,14.91,26.05,30.45
29835,County_29835,New Hampshire,Rural,21.12,10.52,18.49,25.62
28877,County_28877,Nevada,Rural,28.97,15.71,27.09,36.84
40139,County_40139,South Carolina,Rural,15.5,8.47,14.63,41.59
55031,County_55031,Other,Rural,21.22,11.88,16.74,37.39
51729,County_51729,Other,Rural,18.61,10.02,15.96,29.17
56219,County_56219,Other,Urban,20.76,10.44,17.78,23.69
10217,County_10217,Georgia,Urban,13.14,4.09,10.37,26.07
39397,County_39397,Rhode Island,Rural,17.46,7.09,16.18,39.44
27187,County_27187,Nebraska,Rural,26.94,14.24,21.95,40.13
53441,County_53441,Other,Rural,20.01,10.69,16.74,32.5
43713,County_43713,Texas,Urban,27.43,15.51,19.43,32.67
32867,County_32867,New York,Rural,11.18,6.45,10.12,25.49
34531,County_34531,North Dakota,Rural,14.48,8.5,15.13,19.76
23543,County_23543,Minnesota,Suburban/Small City,23.01,12.93,20.33,42.38
28911,County_28911,Nevada,Urban,26.3,13.37,21.71,38.75
23923,County_23923,Minnesota,Rural,16.26,5.7,12.67,30.55
56329,County_56329,Other,Urban,17.06,7.8,13.6,30.16
6253,County_6253,Colorado,Urban,24.37,,21.37,32.8
30691,County_30691,New Jersey,Urban,23.35,13.18,22.73,25.24
52325,County_52325,Other,Rural,12.61,6.58,9.98,15.98
55517,County_55517,Other,Rural,25.86,15.1,22.81,37.61
5805,County_5805,California,Urban,20.44,9.64,21.7,31.57
23243,County_23243,Minnesota,Rural,19.86,9.54,18.39,36.23
55125,County_55125,Other,Rural,13.65,10.98,14.99,28.02
21441,County_21441,Massachusetts,Urban,9.02,3.16,5.78,24.2
9001,County_9001,Florida,Rural,25.85,14.87,21.09,37.73
19807,County_19807,Maine,Rural,12.42,6.39,12.67,28.16
34247,County_34247,North Dakota,Urban,28.0,13.79,21.41,38.83
27585,County_27585,Nebraska,Urban,24.85,11.16,20.99,31.11
11447,County_11447,Hawaii,Urban,31.33,18.06,25.78,39.44
8341,County_8341,Delaware,Rural,17.64,12.44,14.56,31.36
49733,County_49733,Wisconsin,Urban,30.87,16.27,26.36,33.64
41359,County_41359,South Dakota,Urban,13.56,7.57,9.42,33.09
54961,County_54961,Other,Urban,22.4,11.15,18.81,35.59
31503,County_31503,New Mexico,Rural,33.05,17.24,27.95,45.93
14791,County_14791,Indiana,Rural,33.72,15.75,30.74,43.34
33477,County_33477,North Carolina,Rural,25.99,12.91,22.54,35.39
56141,County_56141,Other,Urban,,12.55,19.88,30.09
1363,County_1363,Alabama,Rural,31.31,13.91,28.54,31.27
44571,County_44571,Utah,Urban,9.84,6.37,7.19,21.59
14255,County_14255,Indiana,Rural,23.53,13.38,21.74,37.38
56709,County_56709,Other,Rural,17.46,8.66,17.54,27.87
23171,County_23171,Minnesota,Suburban/Small City,24.7,10.97,19.8,38.49
39457,County_39457,Rhode Island,Rural,20.98,11.33,18.26,28.53
12197,County_12197,Idaho,Rural,24.85,12.11,20.31,29.59
49845,County_49845,Wisconsin,Rural,13.86,8.22,10.76,28.52
48381,County_48381,West Virginia,Rural,18.41,5.59,17.14,37.07
39709,County_39709,Rhode Island,Suburban/Small City,22.37,,17.15,37.28
40223,County_40223,South Carolina,Rural,16.29,6.87,14.56,24.28
9441,County_9441,Florida,Urban,11.97,5.83,7.07,20.23
14423,County_14423,Indiana,Rural,,5.16,12.28,17.86
30565,County_30565,New Jersey,Urban,8.59,3.67,9.27,17.39
23479,County_23479,Minnesota,Urban,14.76,7.96,11.58,36.21
49315,County_49315,Wisconsin,Urban,24.54,13.13,21.84,25.42
41105,County_41105,South Dakota,Urban,20.44,9.18,17.22,33.17
46793,County_46793,Virginia,Rural,27.25,12.99,26.24,32.07
44109,County_44109,Utah,Urban,25.45,11.9,23.71,28.87
2933,County_2933,Alaska,Rural,31.41,18.49,24.27,40.86
9957,County_9957,Florida,Urban,15.64,10.46,14.14,32.45
2787,County_2787,Alaska,Rural,32.19,15.82,27.29,40.15
34335,County_34335,North Dakota,Urban,,,13.41,31.98
54463,County_54463,Other,Rural,19.69,9.81,13.57,30.43
46583,County_46583,Virginia,Urban,10.73,3.83,5.66,24.87
1573,County_1573,Alabama,Urban,31.48,16.33,21.13,
13057,County_13057,Illinois,Rural,20.94,11.62,19.61,27.94
54617,County_54617,Other,Rural,12.23,4.12,12.38,28.52
8265,County_8265,Delaware,Rural,23.5,,21.15,31.77
51595,County_51595,Other,Rural,24.61,16.15,18.38,32.05
12079,County_12079,Idaho,Rural,,12.16,20.69,28.43
51677,County_51677,Other,Rural,30.92,15.03,23.4,40.66
28493,County_28493,Nevada,Rural,,11.7,20.66,28.46
14961,County_14961,Indiana,Suburban/Small City,,4.62,9.25,23.69
3159,County_3159,Arizona,Urban,,5.18,10.17,22.49
55607,County_55607,Other,Rural,19.41,11.79,15.74,33.43
24679,County_24679,Mississippi,Urban,27.52,14.46,22.67,31.65
21725,County_21725,Massachusetts,Urban,14.98,10.92,12.39,27.08
42897,County_42897,Tennessee,Rural,28.56,13.17,26.08,39.52
41827,County_41827,South Dakota,Suburban/Small City,21.88,11.29,18.62,
30667,County_30667,New Jersey,Urban,26.14,11.98,22.33,35.04
53823,County_53823,Other,Suburban/Small City,22.01,10.09,16.77,33.09
23893,County_23893,Minnesota,Suburban/Small City,29.74,15.74,23.71,21.92
24639,County_24639,Mississippi,Urban,29.46,11.94,27.47,38.97
4315,County_4315,Arkansas,Rural,,15.31,23.54,33.88
4071,County_4071,Arkansas,Urban,13.16,5.8,10.68,25.67
43065,County_43065,Texas,Urban,,13.98,17.69,37.26
12669,County_12669,Idaho,Suburban/Small City,25.8,13.66,21.92,39.73
48991,County_48991,West Virginia,Rural,27.0,14.5,21.57,30.23
21949,County_21949,Massachusetts,Suburban/Small City,8.25,,6.21,26.21
27501,County_27501,Nebraska,Rural,12.3,6.79,9.28,29.84
6159,County_6159,Colorado,Rural,17.08,,12.61,25.85
49449,County_49449,Wisconsin,Rural,17.1,10.33,12.95,26.84
39353,County_39353,Rhode Island,Rural,31.29,15.67,24.89,24.52
52567,County_52567,Other,Rural,32.48,16.36,26.59,42.58
2535,County_2535,Alaska,Urban,19.0,10.74,15.04,33.99
48527,County_48527,West Virginia,Urban,13.78,6.86,15.87,32.45
26307,County_26307,Montana,Suburban/Small City,27.29,13.07,19.95,39.65
33007,County_33007,North Carolina,Rural,13.11,5.87,9.34,24.57
55595,County_55595,Other,Urban,23.51,12.26,20.64,37.28
20833,County_20833,Maryland,Suburban/Small City,21.31,9.55,17.66,38.59
52685,County_52685,Other,Urban,25.77,12.88,25.68,34.93
10445,County_10445,Georgia,Urban,,7.68,15.0,32.89
53153,County_53153,Other,Urban,28.38,15.72,23.21,31.1
29449,County_29449,New Hampshire,Suburban/Small City,14.38,9.61,11.64,34.75
43179,County_43179,Texas,Rural,21.7,11.5,18.11,35.64
39339,County_39339,Rhode Island,Rural,20.65,8.19,16.38,25.83
43705,County_43705,Texas,Urban,17.64,9.9,10.13,26.64
33745,County_33745,North Carolina,Rural,17.15,10.4,12.62,39.12
12335,County_12335,Idaho,Urban,12.84,6.58,10.92,31.54
23573,County_23573,Minnesota,Urban,22.42,12.78,17.57,36.59
46635,County_46635,Virginia,Rural,22.79,12.76,16.98,26.92
7151,County_7151,Connecticut,Suburban/Small City,27.83,12.93,23.19,39.65
8681,County_8681,Delaware,Suburban/Small City,14.8,7.43,11.52,22.71
29903,County_29903,New Hampshire,Urban,24.5,12.37,24.32,32.42
32979,County_32979,New York,Suburban/Small City,32.46,16.7,26.93,42.28
48115,County_48115,West Virginia,Urban,21.42,11.31,19.77,37.81
