COUNTYFIPS,COUNTY,STATE,community_type,pct_bachelors_degree,pct_graduate_degree,pct_hs_graduate,pct_less_than_hs,pct_associate_degree,pct_any_posths_education
9261,County_9261,Florida,Rural,14.03,3.42,78.59,21.41,5.62,21.95
33417,County_33417,North Carolina,Rural,6.98,5.49,79.23,20.77,6.25,17.41
1695,County_1695,Alabama,Rural,16.9,3.18,68.46,31.54,2.16,26.04
28741,County_28741,Nevada,Suburban/Small City,11.18,5.34,71.2,28.8,5.07,23.64
37117,County_37117,Oregon,Rural,21.86,5.92,90.39,9.61,9.24,38.67
56427,County_56427,Other,Urban,22.57,6.21,71.24,28.76,4.07,34.36
42739,County_42739,Tennessee,Rural,19.71,10.15,85.24,14.76,6.64,38.86
2843,County_2843,Alaska,Urban,6.62,7.75,77.09,22.91,11.59,28.79
36055,County_36055,Oklahoma,Urban,3.57,1.71,69.44,30.56,4.62,13.48
11739,County_11739,Hawaii,Rural,15.17,5.63,74.38,25.62,5.41,28.56
3197,County_3197,Arizona,Rural,9.8,4.11,64.51,35.49,6.31,18.96
33939,County_33939,North Carolina,Urban,,5.21,77.41,22.59,7.5,28.81
38811,County_38811,Pennsylvania,Rural,15.92,7.39,73.08,26.92,3.5,30.68
50149,County_50149,Wyoming,Rural,27.51,8.07,77.95,22.05,11.55,48.9
31755,County_31755,New Mexico,Suburban/Small City,17.12,4.62,72.65,27.35,10.46,34.59
48027,County_48027,West Virginia,Urban,4.82,3.92,76.9,23.1,6.78,16.1
56975,County_56975,Other,Urban,6.38,5.45,66.64,33.36,6.02,18.84
11023,County_11023,Hawaii,Rural,25.31,9.85,66.41,33.59,2.89,41.89
47603,County_47603,Washington,Urban,14.36,5.13,77.32,22.68,10.03,33.97
32545,County_32545,New York,Rural,7.44,3.36,,,5.37,14.46
48951,County_48951,West Virginia,Urban,18.65,9.33,72.06,27.94,5.16,
12941,County_12941,Idaho,Rural,6.43,6.32,73.34,26.66,6.56,22.23
29835,County_29835,New Hampshire,Rural,21.79,6.45,73.4,26.6,7.95,36.79
28877,County_28877,Nevada,Rural,12.23,4.33,70.77,29.23,5.08,19.65
40139,County_40139,South Carolina,Rural,16.09,2.32,79.14,20.86,3.85,22.81
55031,County_55031,Other,Rural,16.48,6.76,77.02,22.98,7.39,33.6
51729,County_51729,Other,Rural,22.17,6.45,75.66,24.34,4.81,37.78
56219,County_56219,Other,Urban,22.33,5.79,83.57,16.43,2.92,33.57
10217,County_10217,Georgia,Urban,21.2,9.93,82.77,17.23,1.73,33.85
39397,County_39397,Rhode Island,Rural,14.86,4.66,79.47,20.53,6.56,25.85
27187,County_27187,Nebraska,Rural,18.11,5.48,75.74,24.26,2.45,25.98
53441,County_53441,Other,Rural,15.29,4.28,82.69,17.31,4.84,25.3
43713,County_43713,Texas,Urban,,0.0,60.33,39.67,4.42,21.05
32867,County_32867,New York,Rural,17.7,,85.84,14.16,10.97,42.66
34531,County_34531,North Dakota,Rural,22.66,9.16,81.13,18.87,7.16,41.54
23543,County_23543,Minnesota,Suburban/Small City,19.11,2.64,76.45,23.55,5.15,27.66
28911,County_28911,Nevada,Urban,10.93,3.35,72.47,27.53,3.9,20.41
23923,County_23923,Minnesota,Rural,5.3,8.33,71.04,,10.59,25.76
56329,County_56329,Other,Urban,20.59,10.15,74.89,25.11,7.93,40.62
6253,County_6253,Colorado,Urban,20.59,7.77,82.25,17.75,9.97,41.13
30691,County_30691,New Jersey,Urban,13.66,5.67,79.46,20.54,6.74,24.89
52325,County_52325,Other,Rural,22.87,10.4,88.55,11.45,8.86,45.5
55517,County_55517,Other,Rural,8.31,8.1,67.96,32.04,7.52,22.92
5805,County_5805,California,Urban,14.0,3.08,70.68,29.32,5.3,26.05
23243,County_23243,Minnesota,Rural,21.71,8.04,75.37,24.63,8.2,40.28
55125,County_55125,Other,Rural,23.42,10.5,,15.62,10.99,48.02
21441,County_21441,Massachusetts,Urban,22.27,9.86,86.76,13.24,8.59,44.85
9001,County_9001,Florida,Rural,10.9,8.82,83.4,16.6,8.8,29.97
19807,County_19807,Maine,Rural,26.34,7.44,86.62,13.38,7.02,44.01
34247,County_34247,North Dakota,Urban,9.74,8.33,76.06,23.94,4.83,22.24
27585,County_27585,Nebraska,Urban,6.25,6.37,73.37,26.63,4.49,18.99
11447,County_11447,Hawaii,Urban,11.87,7.05,70.17,29.83,8.61,28.57
8341,County_8341,Delaware,Rural,26.14,5.83,82.69,17.31,,43.54
49733,County_49733,Wisconsin,Urban,9.31,2.67,77.78,22.22,9.4,23.03
41359,County_41359,South Dakota,Urban,24.4,8.72,81.25,18.75,9.35,43.55
54961,County_54961,Other,Urban,8.23,1.94,76.66,23.34,6.7,16.66
31503,County_31503,New Mexico,Rural,8.21,4.9,75.27,24.73,7.49,20.86
14791,County_14791,Indiana,Rural,2.86,3.21,59.2,40.8,9.47,18.35
33477,County_33477,North Carolina,Rural,15.77,5.58,78.98,21.02,4.64,26.18
56141,County_56141,Other,Urban,16.03,5.48,73.91,26.09,2.68,
1363,County_1363,Alabama,Rural,3.37,5.41,58.19,,6.44,18.48
44571,County_44571,Utah,Urban,22.75,10.33,80.61,19.39,5.34,37.99
14255,County_14255,Indiana,Rural,8.96,6.45,66.48,33.52,3.5,21.41
56709,County_56709,Other,Rural,18.41,10.23,79.54,20.46,9.22,39.81
23171,County_23171,Minnesota,Suburban/Small City,17.3,2.94,75.22,24.78,4.2,25.66
39457,County_39457,Rhode Island,Rural,10.3,7.42,,18.41,7.57,25.42
12197,County_12197,Idaho,Rural,5.24,3.74,74.01,25.99,1.09,7.31
49845,County_49845,Wisconsin,Rural,23.1,10.49,83.14,16.86,5.93,41.68
48381,County_48381,West Virginia,Rural,15.1,0.0,68.97,31.03,8.37,26.25
39709,County_39709,Rhode Island,Suburban/Small City,17.69,5.72,75.86,24.14,7.38,30.28
40223,County_40223,South Carolina,Rural,20.67,8.99,87.38,12.62,8.81,40.32
9441,County_9441,Florida,Urban,17.01,7.92,84.19,15.81,8.37,35.98
14423,County_14423,Indiana,Rural,19.07,8.6,82.54,17.46,8.14,35.75
30565,County_30565,New Jersey,Urban,20.53,,97.29,2.71,8.02,37.37
