COUNTYFIPS,COUNTY,STATE,community_type,renter_cost_burden_30pct,renter_cost_burden_50pct,owner_cost_burden_30pct,owner_cost_burden_50pct,median_rent,median_home_value,pct_vacant_housing,pct_owner_occupied,pct_mobile_homes
9261,County_9261,Florida,Rural,52.91,24.27,18.05,5.02,872.4,137061.0,13.96,66.9,15.71
33417,County_33417,North Carolina,Rural,45.16,23.95,18.52,7.31,806.0,78627.0,15.35,54.44,21.65
1695,County_1695,Alabama,Rural,61.65,30.04,13.8,,597.6,113595.0,27.05,51.88,18.31
28741,County_28741,Nevada,Suburban/Small City,47.2,21.48,16.56,6.29,850.5,108500.0,23.23,68.19,14.19
37117,County_37117,Oregon,Rural,50.24,20.66,23.84,5.81,834.5,206030.0,19.23,67.9,24.28
56427,County_56427,Other,Urban,53.41,,15.82,8.65,907.1,112757.0,15.43,,12.65
42739,County_42739,Tennessee,Rural,45.58,21.77,21.27,6.04,1065.5,201563.0,10.63,67.23,8.31
2843,County_2843,Alaska,Urban,45.84,17.35,19.65,4.27,1216.6,82751.0,11.27,61.94,13.52
36055,County_36055,Oklahoma,Urban,50.21,28.6,17.75,0.0,671.5,150348.0,11.67,54.1,20.52
11739,County_11739,Hawaii,Rural,49.1,28.14,17.05,5.93,984.2,128898.0,13.51,61.0,14.93
3197,County_3197,Arizona,Rural,55.86,35.49,16.04,10.77,825.7,59834.0,23.64,45.06,26.07
33939,County_33939,North Carolina,Urban,60.05,27.41,17.93,6.54,552.1,109733.0,15.62,61.44,20.36
38811,County_38811,Pennsylvania,Rural,54.9,24.48,11.78,0.99,719.0,47913.0,9.73,71.26,16.12
50149,County_50149,Wyoming,Rural,48.67,34.45,22.8,8.42,821.2,,11.71,67.73,14.97
31755,County_31755,New Mexico,Suburban/Small City,57.26,28.22,18.58,4.93,615.0,59172.0,19.87,,23.01
48027,County_48027,West Virginia,Urban,62.06,30.01,16.16,4.16,,66791.0,18.88,52.71,16.37
56975,County_56975,Other,Urban,55.62,29.2,17.58,7.04,530.3,78430.0,28.63,53.19,18.21
11023,County_11023,Hawaii,Rural,47.54,21.39,11.32,4.69,500.9,137545.0,18.38,65.26,18.0
47603,County_47603,Washington,Urban,50.2,23.03,12.44,6.36,767.4,,23.03,60.85,17.64
32545,County_32545,New York,Rural,64.06,36.84,17.42,7.29,541.7,30000.0,20.21,49.53,29.35
48951,County_48951,West Virginia,Urban,53.42,33.95,17.89,5.9,1070.1,111463.0,12.76,62.02,11.57
12941,County_12941,Idaho,Rural,62.85,33.7,15.84,,478.1,87019.0,24.74,48.46,14.72
29835,County_29835,New Hampshire,Rural,51.81,27.1,20.33,8.12,948.0,193110.0,11.22,62.54,5.4
28877,County_28877,Nevada,Rural,47.05,28.45,10.49,8.05,717.1,85339.0,18.7,40.69,12.12
40139,County_40139,South Carolina,Rural,50.61,29.48,17.01,4.33,900.6,108022.0,21.57,66.35,10.19
55031,County_55031,Other,Rural,52.08,22.87,18.9,,677.5,162004.0,11.26,49.45,14.91
51729,County_51729,Other,Rural,51.65,21.56,18.88,5.49,887.0,142371.0,23.77,53.73,8.63
56219,County_56219,Other,Urban,43.67,20.37,19.92,8.26,809.5,116563.0,19.56,52.75,10.72
10217,County_10217,Georgia,Urban,45.11,20.82,20.41,6.31,1064.8,185750.0,7.6,72.57,6.95
39397,County_39397,Rhode Island,Rural,59.57,27.09,20.4,8.27,738.4,87893.0,21.11,71.96,17.75
27187,County_27187,Nebraska,Rural,54.26,25.3,16.09,11.49,828.5,88628.0,17.98,53.62,23.93
53441,County_53441,Other,Rural,50.02,19.12,18.83,7.53,887.9,150360.0,18.43,57.88,13.63
