COUNTYFIPS,COUNTY,STATE,community_type,insurance_coverage_pct,uninsured_pct,uninsured_below64_pct,sahie_uninsured_pct,pct_private_insurance,pct_medicaid,pct_medicare_only
9261,County_9261,Florida,Rural,78.26,21.74,26.03,21.97,41.13,36.9,4.33
33417,County_33417,North Carolina,Rural,74.61,25.39,30.57,26.33,40.19,27.37,4.21
1695,County_1695,Alabama,Rural,72.25,27.75,33.53,28.96,36.1,43.72,5.82
28741,County_28741,Nevada,Suburban/Small City,75.88,24.12,28.65,24.24,43.21,33.83,6.64
37117,County_37117,Oregon,Rural,85.88,14.12,17.37,14.04,42.92,27.97,3.95
56427,County_56427,Other,Urban,85.58,14.42,17.27,15.22,41.03,24.0,8.02
42739,County_42739,Tennessee,Rural,88.69,11.31,14.03,11.5,48.85,22.21,5.55
2843,County_2843,Alaska,Urban,84.85,15.15,18.01,16.18,49.37,23.33,
36055,County_36055,Oklahoma,Urban,69.43,30.57,37.62,31.04,39.19,52.99,7.18
11739,County_11739,Hawaii,Rural,80.61,19.39,23.12,19.7,33.04,28.33,5.68
3197,County_3197,Arizona,Rural,63.36,36.64,43.52,36.53,32.21,53.42,7.09
33939,County_33939,North Carolina,Urban,77.68,22.32,26.78,22.1,41.2,43.14,4.06
38811,County_38811,Pennsylvania,Rural,77.75,22.25,27.49,22.87,47.04,25.02,5.81
50149,County_50149,Wyoming,Rural,84.75,15.25,18.05,15.72,43.72,28.24,5.69
31755,County_31755,New Mexico,Suburban/Small City,74.67,25.33,30.03,25.75,32.15,45.74,4.08
48027,County_48027,West Virginia,Urban,67.98,32.02,37.85,32.61,21.01,56.12,5.67
56975,County_56975,Other,Urban,72.34,27.66,33.61,28.11,33.32,48.21,6.6
11023,County_11023,Hawaii,Rural,78.45,21.55,24.77,21.32,41.08,37.95,
47603,County_47603,Washington,Urban,80.62,19.38,22.21,19.61,37.71,36.81,6.76
32545,County_32545,New York,Rural,68.94,31.06,38.19,31.36,27.11,49.6,7.92
48951,County_48951,West Virginia,Urban,84.64,15.36,18.47,15.75,38.73,32.52,5.94
12941,County_12941,Idaho,Rural,68.74,31.26,37.47,31.32,39.63,48.99,5.5
29835,County_29835,New Hampshire,Rural,83.59,16.41,19.98,15.92,41.9,27.76,5.82
