COUNTYFIPS,COUNTY,STATE,community_type,median_household_income,acs_median_hh_income,per_capita_income,gini_index
9261,County_9261,Florida,Rural,60048.0,59885.0,27860.0,0.442
33417,County_33417,North Carolina,Rural,39145.0,41796.0,20137.0,0.495
1695,County_1695,Alabama,Rural,47773.0,,21787.0,0.466
28741,County_28741,Nevada,Suburban/Small City,41213.0,42000.0,22214.0,
37117,County_37117,Oregon,Rural,58766.0,59372.0,27198.0,0.438
56427,County_56427,Other,Urban,67603.0,67516.0,21812.0,0.439
42739,County_42739,Tennessee,Rural,74432.0,72907.0,32720.0,0.412
2843,County_2843,Alaska,Urban,69511.0,68808.0,28147.0,0.423
36055,County_36055,Oklahoma,Urban,38565.0,36299.0,16073.0,0.459
11739,County_11739,Hawaii,Rural,54605.0,53116.0,21278.0,0.468
3197,County_3197,Arizona,Rural,28299.0,28541.0,15359.0,0.52
33939,County_33939,North Carolina,Urban,53955.0,53261.0,,
38811,County_38811,Pennsylvania,Rural,49039.0,48618.0,24180.0,0.483
50149,County_50149,Wyoming,Rural,57454.0,59053.0,28014.0,0.466
31755,County_31755,New Mexico,Suburban/Small City,47591.0,50030.0,25981.0,0.491
48027,County_48027,West Virginia,Urban,41507.0,40604.0,17238.0,0.48
56975,County_56975,Other,Urban,32159.0,32077.0,18403.0,
11023,County_11023,Hawaii,Rural,54649.0,52990.0,25656.0,0.465
47603,County_47603,Washington,Urban,49819.0,51009.0,23123.0,0.474
32545,County_32545,New York,Rural,32944.0,32881.0,13950.0,0.499
48951,County_48951,West Virginia,Urban,61894.0,59593.0,26845.0,0.495
12941,County_12941,Idaho,Rural,34596.0,33840.0,10223.0,0.475
29835,County_29835,New Hampshire,Rural,58047.0,59311.0,26689.0,0.456
28877,County_28877,Nevada,Rural,45365.0,42141.0,16612.0,0.465
40139,County_40139,South Carolina,Rural,46226.0,45912.0,24567.0,0.448
55031,County_55031,Other,Rural,56187.0,,23717.0,0.483
51729,County_51729,Other,Rural,61169.0,63495.0,21965.0,0.442
56219,County_56219,Other,Urban,55339.0,55024.0,26300.0,0.445
10217,County_10217,Georgia,Urban,73696.0,75454.0,26093.0,0.444
39397,County_39397,Rhode Island,Rural,43343.0,43349.0,23239.0,0.455
27187,County_27187,Nebraska,Rural,34996.0,32080.0,19328.0,
53441,County_53441,Other,Rural,55346.0,55166.0,21651.0,0.467
43713,County_43713,Texas,Urban,40650.0,40592.0,20471.0,0.472
32867,County_32867,New York,Rural,69117.0,67589.0,29818.0,0.398
34531,County_34531,North Dakota,Rural,81429.0,81298.0,31675.0,0.42
23543,County_23543,Minnesota,Suburban/Small City,36828.0,36579.0,12661.0,0.434
28911,County_28911,Nevada,Urban,,,12887.0,0.45
23923,County_23923,Minnesota,Rural,65693.0,65635.0,25082.0,0.46
56329,County_56329,Other,Urban,59789.0,62186.0,26450.0,0.498
6253,County_6253,Colorado,Urban,42825.0,44449.0,22743.0,0.434
30691,County_30691,New Jersey,Urban,61331.0,63692.0,18119.0,0.449
52325,County_52325,Other,Rural,72030.0,72124.0,33076.0,0.418
55517,County_55517,Other,Rural,48589.0,48042.0,19908.0,0.46
5805,County_5805,California,Urban,43113.0,40061.0,21518.0,0.471
23243,County_23243,Minnesota,Rural,57453.0,55597.0,25589.0,0.448
55125,County_55125,Other,Rural,86335.0,87043.0,33922.0,0.415
21441,County_21441,Massachusetts,Urban,78754.0,77175.0,29677.0,0.431
9001,County_9001,Florida,Rural,46488.0,45545.0,20728.0,0.465
19807,County_19807,Maine,Rural,72075.0,73086.0,30521.0,0.409
34247,County_34247,North Dakota,Urban,45686.0,47294.0,21869.0,0.489
27585,County_27585,Nebraska,Urban,48922.0,49375.0,19125.0,0.444
11447,County_11447,Hawaii,Urban,40429.0,41444.0,21021.0,0.489
8341,County_8341,Delaware,Rural,55995.0,54552.0,26320.0,0.452
49733,County_49733,Wisconsin,Urban,45503.0,46634.0,16496.0,0.474
41359,County_41359,South Dakota,Urban,65953.0,68220.0,29883.0,0.45
54961,County_54961,Other,Urban,49812.0,49923.0,23606.0,0.436
31503,County_31503,New Mexico,Rural,37551.0,36835.0,,0.475
14791,County_14791,Indiana,Rural,24732.0,25014.0,15231.0,0.482
33477,County_33477,North Carolina,Rural,44270.0,47179.0,19580.0,0.469
56141,County_56141,Other,Urban,58885.0,57619.0,21649.0,0.42
1363,County_1363,Alabama,Rural,32943.0,32377.0,,0.462
44571,County_44571,Utah,Urban,74309.0,74402.0,31123.0,0.426
14255,County_14255,Indiana,Rural,42176.0,41183.0,14528.0,0.457
56709,County_56709,Other,Rural,70125.0,70204.0,26408.0,0.459
23171,County_23171,Minnesota,Suburban/Small City,53340.0,53645.0,16967.0,0.46
39457,County_39457,Rhode Island,Rural,53548.0,53715.0,20387.0,0.45
12197,County_12197,Idaho,Rural,39893.0,38626.0,14734.0,0.431
49845,County_49845,Wisconsin,Rural,65916.0,66011.0,28438.0,0.442
48381,County_48381,West Virginia,Rural,52233.0,52860.0,,0.453
39709,County_39709,Rhode Island,Suburban/Small City,44868.0,44497.0,14913.0,0.436
40223,County_40223,South Carolina,Rural,72232.0,71330.0,30958.0,0.407
9441,County_9441,Florida,Urban,74684.0,72736.0,27689.0,0.407
14423,County_14423,Indiana,Rural,72958.0,71147.0,24995.0,0.405
30565,County_30565,New Jersey,Urban,81473.0,81369.0,35895.0,0.411
23479,County_23479,Minnesota,Urban,61223.0,61317.0,31632.0,0.423
49315,County_49315,Wisconsin,Urban,48767.0,50702.0,20005.0,0.496
41105,County_41105,South Dakota,Urban,57435.0,59301.0,28352.0,0.418
46793,County_46793,Virginia,Rural,47062.0,46581.0,14954.0,0.455
44109,County_44109,Utah,Urban,45229.0,45619.0,22526.0,0.43
2933,County_2933,Alaska,Rural,49079.0,47847.0,15985.0,0.487
9957,County_9957,Florida,Urban,58322.0,60571.0,28120.0,0.442
2787,County_2787,Alaska,Rural,31641.0,32191.0,,0.473
34335,County_34335,North Dakota,Urban,65850.0,64830.0,22708.0,0.443
54463,County_54463,Other,Rural,55118.0,57122.0,24346.0,0.466
46583,County_46583,Virginia,Urban,62636.0,59776.0,31145.0,0.421
1573,County_1573,Alabama,Urban,30940.0,31849.0,9894.0,0.493
13057,County_13057,Illinois,Rural,58133.0,58685.0,24237.0,0.46
54617,County_54617,Other,Rural,70977.0,70183.0,27907.0,0.453
8265,County_8265,Delaware,Rural,51651.0,50235.0,13156.0,0.495
51595,County_51595,Other,Rural,41026.0,41244.0,19591.0,0.452
12079,County_12079,Idaho,Rural,44726.0,44896.0,19684.0,0.456
51677,County_51677,Other,Rural,,32765.0,,0.471
28493,County_28493,Nevada,Rural,48547.0,48722.0,23350.0,0.479
14961,County_14961,Indiana,Suburban/Small City,78666.0,78972.0,34120.0,0.418
3159,County_3159,Arizona,Urban,70080.0,67240.0,30069.0,0.405
55607,County_55607,Other,Rural,64874.0,64871.0,27078.0,0.422
24679,County_24679,Mississippi,Urban,27207.0,26486.0,17349.0,0.475
21725,County_21725,Massachusetts,Urban,68629.0,68245.0,32233.0,0.454
42897,County_42897,Tennessee,Rural,31100.0,30133.0,15658.0,0.471
41827,County_41827,South Dakota,Suburban/Small City,44377.0,42792.0,22054.0,0.46
30667,County_30667,New Jersey,Urban,37418.0,39383.0,17568.0,0.463
53823,County_53823,Other,Suburban/Small City,54257.0,52881.0,23580.0,0.474
23893,County_23893,Minnesota,Suburban/Small City,45454.0,44572.0,18788.0,0.481
24639,County_24639,Mississippi,Urban,30633.0,30585.0,,0.51
4315,County_4315,Arkansas,Rural,32904.0,34435.0,13043.0,0.507
4071,County_4071,Arkansas,Urban,67430.0,66952.0,24872.0,0.384
43065,County_43065,Texas,Urban,49179.0,48444.0,20312.0,0.455
12669,County_12669,Idaho,Suburban/Small City,40935.0,39440.0,14762.0,0.49
48991,County_48991,West Virginia,Rural,,46153.0,14609.0,0.481
21949,County_21949,Massachusetts,Suburban/Small City,76249.0,76486.0,36706.0,0.435
27501,County_27501,Nebraska,Rural,71401.0,,29559.0,0.449
6159,County_6159,Colorado,Rural,66348.0,66484.0,27352.0,0.45
49449,County_49449,Wisconsin,Rural,62302.0,63137.0,26129.0,0.45
39353,County_39353,Rhode Island,Rural,40998.0,43324.0,15167.0,0.516
52567,County_52567,Other,Rural,40001.0,38651.0,12245.0,0.479
2535,County_2535,Alaska,Urban,52888.0,51474.0,19529.0,0.492
48527,County_48527,West Virginia,Urban,55461.0,56105.0,24826.0,0.462
26307,County_26307,Montana,Suburban/Small City,36148.0,34754.0,10811.0,0.461
33007,County_33007,North Carolina,Rural,67067.0,69724.0,29587.0,0.441
55595,County_55595,Other,Urban,45241.0,44517.0,16141.0,0.473
20833,County_20833,Maryland,Suburban/Small City,58735.0,57749.0,20244.0,0.438
52685,County_52685,Other,Urban,49432.0,51490.0,17128.0,0.505
10445,County_10445,Georgia,Urban,55264.0,56894.0,25928.0,0.425
53153,County_53153,Other,Urban,44619.0,,19165.0,0.461
29449,County_29449,New Hampshire,Suburban/Small City,61486.0,62245.0,25194.0,0.453
43179,County_43179,Texas,Rural,60408.0,61284.0,,0.412
39339,County_39339,Rhode Island,Rural,56861.0,58382.0,20526.0,0.463
43705,County_43705,Texas,Urban,56281.0,56628.0,25875.0,0.484
33745,County_33745,North Carolina,Rural,58813.0,60396.0,25633.0,0.43
12335,County_12335,Idaho,Urban,61046.0,61338.0,34022.0,0.451
23573,County_23573,Minnesota,Urban,45451.0,44762.0,18639.0,0.458
46635,County_46635,Virginia,Rural,46973.0,45680.0,16105.0,0.455
7151,County_7151,Connecticut,Suburban/Small City,40035.0,39688.0,17319.0,0.465
8681,County_8681,Delaware,Suburban/Small City,61321.0,59374.0,28996.0,
29903,County_29903,New Hampshire,Urban,51165.0,50134.0,24015.0,0.47
32979,County_32979,New York,Suburban/Small City,33712.0,35180.0,17586.0,0.487
48115,County_48115,West Virginia,Urban,44732.0,42086.0,19599.0,0.502
13469,County_13469,Illinois,Rural,57423.0,57896.0,24856.0,0.439
14375,County_14375,Indiana,Rural,43731.0,43619.0,25406.0,0.476
17185,County_17185,Kentucky,Urban,58896.0,58436.0,26876.0,
25895,County_25895,Missouri,Urban,46297.0,45205.0,22774.0,0.467
11583,County_11583,Hawaii,Rural,30574.0,27214.0,15795.0,0.497
24151,County_24151,Mississippi,Rural,64905.0,66954.0,30045.0,0.448
24391,County_24391,Mississippi,Suburban/Small City,39264.0,38754.0,20911.0,0.454
11237,County_11237,Hawaii,Rural,77057.0,76228.0,29960.0,0.415
12221,County_12221,Idaho,Rural,50820.0,49773.0,21922.0,0.465
20417,County_20417,Maryland,Rural,36855.0,36687.0,11603.0,0.464
19595,County_19595,Maine,Rural,68055.0,70539.0,28471.0,0.443
30269,County_30269,New Jersey,Rural,51946.0,,26891.0,0.449
32165,County_32165,New York,Suburban/Small City,41045.0,40100.0,17211.0,0.446
1353,County_1353,Alabama,Urban,59658.0,59023.0,24503.0,0.422
33153,County_33153,North Carolina,Suburban/Small City,40797.0,43373.0,15216.0,0.473
52779,County_52779,Other,Urban,49581.0,51485.0,21405.0,0.485
38755,County_38755,Pennsylvania,Urban,,65614.0,35118.0,0.425
36617,County_36617,Oklahoma,Rural,65733.0,66023.0,,0.416
53817,County_53817,Other,Rural,59867.0,57882.0,24748.0,0.429
48115,County_48115,West Virginia,Urban,25000.0,23906.0,13277.0,0.451
21251,County_21251,Massachusetts,Rural,79211.0,81917.0,36856.0,0.413
15251,County_15251,Iowa,Rural,57155.0,56188.0,25019.0,0.432
6907,County_6907,Colorado,Rural,37094.0,37337.0,12502.0,0.456
53943,County_53943,Other,Suburban/Small City,28585.0,29882.0,12194.0,0.466
5307,County_5307,California,Rural,66999.0,69659.0,24205.0,0.413
43061,County_43061,Texas,Rural,71417.0,72644.0,31537.0,0.436
52065,County_52065,Other,Rural,47852.0,46616.0,20123.0,0.47
8375,County_8375,Delaware,Urban,46976.0,45300.0,20832.0,0.496
55531,County_55531,Other,Rural,62491.0,60874.0,25406.0,0.454
5365,County_5365,California,Urban,51539.0,48124.0,21302.0,0.466
26115,County_26115,Montana,Urban,46892.0,45194.0,19348.0,0.499
24727,County_24727,Mississippi,Rural,47058.0,48162.0,19003.0,0.458
26491,County_26491,Montana,Rural,40775.0,40898.0,18215.0,0.44
19915,County_19915,Maine,Urban,37245.0,35629.0,16585.0,0.502
29697,County_29697,New Hampshire,Urban,69794.0,69605.0,29610.0,0.39
55325,County_55325,Other,Urban,52288.0,50883.0,28410.0,0.455
7127,County_7127,Connecticut,Urban,44947.0,46290.0,16888.0,0.489
24341,County_24341,Mississippi,Rural,27170.0,27238.0,15404.0,0.495
18005,County_18005,Louisiana,Urban,49782.0,49302.0,18814.0,0.454
14049,County_14049,Indiana,Rural,57598.0,59004.0,27821.0,0.444
53751,County_53751,Other,Urban,35510.0,35912.0,12557.0,0.483
