COUNTYFIPS,COUNTY,STATE,community_type,poverty_rate_pct,poverty_rate_children_pct,pct_below_50pct_poverty_line,pct_hh_on_food_stamps
9261,County_9261,Florida,Rural,21.39,27.3,9.27,27.77
33417,County_33417,North Carolina,Rural,29.03,37.2,15.44,31.77
1695,County_1695,Alabama,Rural,34.82,,13.78,48.71
28741,County_28741,Nevada,Suburban/Small City,25.97,35.49,10.58,29.88
37117,County_37117,Oregon,Rural,19.51,22.65,12.48,16.86
56427,County_56427,Other,Urban,14.75,19.39,4.43,16.64
42739,County_42739,Tennessee,Rural,15.31,20.26,6.08,4.61
2843,County_2843,Alaska,Urban,14.0,19.44,5.27,16.65
36055,County_36055,Oklahoma,Urban,36.26,46.57,16.62,45.98
11739,County_11739,Hawaii,Rural,26.72,34.67,9.41,25.78
3197,County_3197,Arizona,Rural,39.49,49.5,21.38,54.72
33939,County_33939,North Carolina,Urban,25.88,33.85,11.46,27.04
38811,County_38811,Pennsylvania,Rural,25.41,29.95,10.27,30.96
50149,County_50149,Wyoming,Rural,23.66,32.27,11.21,22.88
31755,County_31755,New Mexico,Suburban/Small City,32.94,41.93,12.23,36.59
48027,County_48027,West Virginia,Urban,37.7,,20.06,49.43
56975,County_56975,Other,Urban,35.31,45.5,17.75,43.04
11023,County_11023,Hawaii,Rural,23.86,30.57,9.84,28.07
47603,County_47603,Washington,Urban,22.49,26.22,10.44,27.47
32545,County_32545,New York,Rural,35.89,48.9,16.33,49.66
48951,County_48951,West Virginia,Urban,16.52,20.72,5.73,22.89
12941,County_12941,Idaho,Rural,32.82,44.06,14.39,43.2
29835,County_29835,New Hampshire,Rural,18.48,24.32,7.81,21.38
28877,County_28877,Nevada,Rural,25.25,34.56,14.14,37.7
40139,County_40139,South Carolina,Rural,22.92,32.66,9.47,20.4
55031,County_55031,Other,Rural,23.06,33.25,12.37,28.44
51729,County_51729,Other,Rural,20.39,27.53,8.28,19.12
56219,County_56219,Other,Urban,22.02,27.58,9.11,28.8
10217,County_10217,Georgia,Urban,,17.83,5.48,6.67
39397,County_39397,Rhode Island,Rural,26.88,35.15,9.31,27.47
27187,County_27187,Nebraska,Rural,32.46,42.12,13.5,32.47
53441,County_53441,Other,Rural,22.86,29.18,10.28,25.98
43713,County_43713,Texas,Urban,32.32,40.17,13.13,41.38
32867,County_32867,New York,Rural,,22.73,8.95,16.06
34531,County_34531,North Dakota,Rural,9.67,10.5,5.17,3.13
23543,County_23543,Minnesota,Suburban/Small City,30.53,38.69,15.33,38.47
28911,County_28911,Nevada,Urban,34.6,45.9,15.05,45.82
23923,County_23923,Minnesota,Rural,19.33,25.0,9.08,25.83
56329,County_56329,Other,Urban,23.78,29.95,11.59,23.74
6253,County_6253,Colorado,Urban,24.0,31.34,11.73,36.7
30691,County_30691,New Jersey,Urban,20.26,26.93,10.74,26.83
52325,County_52325,Other,Rural,10.14,15.67,3.66,7.63
55517,County_55517,Other,Rural,30.16,36.55,16.65,34.71
5805,County_5805,California,Urban,27.15,36.89,12.58,37.43
23243,County_23243,Minnesota,Rural,20.68,26.72,9.81,20.52
55125,County_55125,Other,Rural,14.12,17.54,4.18,11.46
21441,County_21441,Massachusetts,Urban,10.09,14.54,2.35,10.49
9001,County_9001,Florida,Rural,29.54,39.17,13.3,36.56
19807,County_19807,Maine,Rural,15.67,19.66,7.23,15.55
34247,County_34247,North Dakota,Urban,32.62,41.88,12.81,40.42
27585,County_27585,Nebraska,Urban,29.45,37.75,11.7,39.65
11447,County_11447,Hawaii,Urban,28.21,33.61,13.67,45.41
8341,County_8341,Delaware,Rural,19.68,24.66,9.06,17.14
49733,County_49733,Wisconsin,Urban,38.63,51.29,16.98,52.62
41359,County_41359,South Dakota,Urban,16.21,22.96,5.3,17.32
54961,County_54961,Other,Urban,26.91,32.31,13.88,30.01
31503,County_31503,New Mexico,Rural,37.3,47.44,19.08,49.04
14791,County_14791,Indiana,Rural,42.56,57.68,,54.24
33477,County_33477,North Carolina,Rural,30.09,38.02,13.25,36.81
56141,County_56141,Other,Urban,24.45,30.1,12.5,30.12
1363,County_1363,Alabama,Rural,37.68,48.82,15.82,47.79
44571,County_44571,Utah,Urban,13.09,,6.04,8.78
14255,County_14255,Indiana,Rural,28.86,38.39,16.22,42.52
56709,County_56709,Other,Rural,16.06,20.74,9.41,18.99
23171,County_23171,Minnesota,Suburban/Small City,31.38,40.11,13.22,45.3
39457,County_39457,Rhode Island,Rural,21.04,25.4,8.19,31.64
12197,County_12197,Idaho,Rural,29.57,34.9,12.34,40.05
49845,County_49845,Wisconsin,Rural,15.36,,6.68,13.39
48381,County_48381,West Virginia,Rural,,30.15,10.31,25.01
39709,County_39709,Rhode Island,Suburban/Small City,24.42,34.03,11.03,26.48
40223,County_40223,South Carolina,Rural,17.23,22.95,9.46,16.82
9441,County_9441,Florida,Urban,11.91,14.34,2.58,12.79
14423,County_14423,Indiana,Rural,11.86,17.79,3.75,10.86
30565,County_30565,New Jersey,Urban,12.76,15.96,6.19,5.49
23479,County_23479,Minnesota,Urban,22.04,27.81,8.95,16.43
49315,County_49315,Wisconsin,Urban,23.13,29.57,11.44,35.4
41105,County_41105,South Dakota,Urban,25.94,33.16,10.22,34.85
46793,County_46793,Virginia,Rural,30.99,36.81,14.29,36.51
44109,County_44109,Utah,Urban,27.93,36.94,9.66,37.39
2933,County_2933,Alaska,Rural,33.91,47.57,,48.94
9957,County_9957,Florida,Urban,24.88,31.79,13.2,21.01
2787,County_2787,Alaska,Rural,38.95,48.57,20.55,52.64
34335,County_34335,North Dakota,Urban,17.49,23.16,8.55,25.5
54463,County_54463,Other,Rural,25.1,32.73,13.11,
46583,County_46583,Virginia,Urban,19.42,25.09,9.16,22.57
1573,County_1573,Alabama,Urban,38.43,49.19,,51.93
13057,County_13057,Illinois,Rural,25.49,33.65,9.8,23.72
54617,County_54617,Other,Rural,10.32,11.5,5.6,13.88
8265,County_8265,Delaware,Rural,31.65,38.73,13.66,37.17
51595,County_51595,Other,Rural,27.82,35.06,11.94,35.31
12079,County_12079,Idaho,Rural,30.98,38.43,16.58,41.17
51677,County_51677,Other,Rural,36.91,46.83,16.45,53.62
28493,County_28493,Nevada,Rural,33.39,42.68,17.88,40.71
14961,County_14961,Indiana,Suburban/Small City,8.03,10.7,1.25,12.36
3159,County_3159,Arizona,Urban,12.42,15.69,7.2,15.31
55607,County_55607,Other,Rural,17.66,21.63,8.94,24.55
24679,County_24679,Mississippi,Urban,33.72,41.78,14.59,50.23
21725,County_21725,Massachusetts,Urban,12.25,17.85,7.55,11.0
42897,County_42897,Tennessee,Rural,36.44,45.83,15.17,49.25
41827,County_41827,South Dakota,Suburban/Small City,26.69,35.46,12.43,29.88
30667,County_30667,New Jersey,Urban,31.73,40.2,15.95,39.39
53823,County_53823,Other,Suburban/Small City,21.7,27.54,10.45,25.55
23893,County_23893,Minnesota,Suburban/Small City,31.81,40.09,13.9,42.93
24639,County_24639,Mississippi,Urban,36.11,45.17,14.82,49.12
4315,County_4315,Arkansas,Rural,40.86,53.81,19.31,47.59
4071,County_4071,Arkansas,Urban,14.72,15.15,5.8,13.73
43065,County_43065,Texas,Urban,25.79,37.49,9.11,36.08
12669,County_12669,Idaho,Suburban/Small City,32.48,46.4,13.96,35.55
48991,County_48991,West Virginia,Rural,,45.22,16.37,45.01
21949,County_21949,Massachusetts,Suburban/Small City,8.78,7.96,4.38,4.23
27501,County_27501,Nebraska,Rural,14.48,16.96,6.91,13.66
6159,County_6159,Colorado,Rural,,28.47,8.53,23.41
49449,County_49449,Wisconsin,Rural,18.89,21.67,8.27,19.62
39353,County_39353,Rhode Island,Rural,34.88,46.88,15.71,47.44
52567,County_52567,Other,Rural,37.19,50.79,16.73,47.96
2535,County_2535,Alaska,Urban,22.81,27.29,12.43,30.63
48527,County_48527,West Virginia,Urban,21.36,29.14,10.2,23.48
26307,County_26307,Montana,Suburban/Small City,35.92,48.72,16.73,46.93
33007,County_33007,North Carolina,Rural,17.53,23.96,9.63,12.95
55595,County_55595,Other,Urban,30.12,38.44,10.63,34.02
20833,County_20833,Maryland,Suburban/Small City,21.23,25.81,12.05,25.99
52685,County_52685,Other,Urban,32.48,42.22,14.89,40.47
10445,County_10445,Georgia,Urban,23.63,30.04,13.03,24.02
53153,County_53153,Other,Urban,30.6,38.58,12.18,38.41
29449,County_29449,New Hampshire,Suburban/Small City,18.7,24.61,6.65,20.27
43179,County_43179,Texas,Rural,22.04,29.8,8.8,23.98
