COUNTYFIPS,COUNTY,STATE,community_type,unemployment_rate_pct,acs_unemployment_rate_pct,employment_rate_pct,pct_not_in_labor_force
9261,County_9261,Florida,Rural,,8.06,,40.18
33417,County_33417,North Carolina,Rural,11.29,11.78,57.33,30.89
1695,County_1695,Alabama,Rural,13.19,14.25,45.25,40.5
28741,County_28741,Nevada,Suburban/Small City,10.9,12.3,51.5,36.19
37117,County_37117,Oregon,Rural,6.97,7.15,38.89,53.97
56427,County_56427,Other,Urban,7.84,8.77,51.35,39.87
42739,County_42739,Tennessee,Rural,5.59,4.28,52.82,42.91
2843,County_2843,Alaska,Urban,6.71,6.02,63.27,30.72
36055,County_36055,Oklahoma,Urban,13.4,14.43,30.0,
11739,County_11739,Hawaii,Rural,10.76,11.0,51.18,37.82
3197,County_3197,Arizona,Rural,16.81,16.31,48.02,35.67
33939,County_33939,North Carolina,Urban,10.78,11.2,51.67,37.13
38811,County_38811,Pennsylvania,Rural,9.63,10.63,40.77,48.61
50149,County_50149,Wyoming,Rural,9.26,9.11,43.79,47.1
31755,County_31755,New Mexico,Suburban/Small City,13.03,13.06,36.03,50.91
48027,County_48027,West Virginia,Urban,14.74,14.28,41.07,44.66
56975,County_56975,Other,Urban,13.24,13.12,48.3,38.57
11023,County_11023,Hawaii,Rural,11.55,10.89,51.08,38.03
47603,County_47603,Washington,Urban,9.1,9.21,41.18,49.61
32545,County_32545,New York,Rural,16.07,16.03,34.85,49.12
48951,County_48951,West Virginia,Urban,7.12,7.93,46.52,45.55
12941,County_12941,Idaho,Rural,14.69,16.51,44.77,38.72
29835,County_29835,New Hampshire,Rural,6.88,7.25,53.94,38.81
28877,County_28877,Nevada,Rural,9.61,9.09,52.49,38.42
40139,County_40139,South Carolina,Rural,9.27,9.03,,39.65
55031,County_55031,Other,Rural,7.5,7.88,48.77,43.35
51729,County_51729,Other,Rural,7.13,7.25,52.83,39.92
56219,County_56219,Other,Urban,7.84,8.6,50.87,40.52
10217,County_10217,Georgia,Urban,4.99,4.58,56.09,39.33
39397,County_39397,Rhode Island,Rural,9.62,10.31,47.75,41.94
27187,County_27187,Nebraska,Rural,12.39,12.5,56.09,31.42
53441,County_53441,Other,Rural,9.18,8.39,45.86,45.76
43713,County_43713,Texas,Urban,13.5,14.01,36.9,49.09
32867,County_32867,New York,Rural,3.73,3.41,54.62,41.97
34531,County_34531,North Dakota,Rural,3.84,4.34,51.84,43.82
23543,County_23543,Minnesota,Suburban/Small City,10.92,10.75,,46.81
28911,County_28911,Nevada,Urban,14.65,14.75,43.17,42.09
23923,County_23923,Minnesota,Rural,8.54,9.17,50.03,40.8
56329,County_56329,Other,Urban,6.64,6.41,48.83,44.75
6253,County_6253,Colorado,Urban,9.0,9.05,62.19,28.76
30691,County_30691,New Jersey,Urban,9.4,9.38,53.5,37.13
52325,County_52325,Other,Rural,3.87,4.65,60.75,34.6
55517,County_55517,Other,Rural,11.53,12.24,37.8,49.96
5805,County_5805,California,Urban,8.27,8.8,46.95,44.25
23243,County_23243,Minnesota,Rural,7.29,7.54,47.93,44.53
55125,County_55125,Other,Rural,6.25,6.16,51.56,42.28
21441,County_21441,Massachusetts,Urban,3.58,4.17,50.52,45.31
9001,County_9001,Florida,Rural,10.48,10.55,45.85,43.6
19807,County_19807,Maine,Rural,6.05,6.24,56.0,37.76
34247,County_34247,North Dakota,Urban,12.2,12.56,38.35,49.09
27585,County_27585,Nebraska,Urban,10.84,10.79,47.99,41.21
11447,County_11447,Hawaii,Urban,13.27,13.52,31.63,54.85
8341,County_8341,Delaware,Rural,6.53,7.08,44.84,48.08
49733,County_49733,Wisconsin,Urban,15.75,16.95,44.68,38.37
41359,County_41359,South Dakota,Urban,5.65,6.48,44.36,49.16
54961,County_54961,Other,Urban,10.71,10.15,48.85,41.0
31503,County_31503,New Mexico,Rural,16.24,16.24,38.33,45.42
14791,County_14791,Indiana,Rural,16.08,16.27,41.43,
33477,County_33477,North Carolina,Rural,13.72,14.4,37.96,47.64
56141,County_56141,Other,Urban,8.43,8.08,46.05,45.88
1363,County_1363,Alabama,Rural,13.98,14.1,37.3,48.6
44571,County_44571,Utah,Urban,3.88,4.2,55.44,40.36
14255,County_14255,Indiana,Rural,13.03,13.51,54.7,31.78
56709,County_56709,Other,Rural,8.46,9.04,49.23,41.73
23171,County_23171,Minnesota,Suburban/Small City,11.49,12.37,38.32,49.3
39457,County_39457,Rhode Island,Rural,11.36,11.55,46.5,41.95
12197,County_12197,Idaho,Rural,12.32,,47.22,39.42
49845,County_49845,Wisconsin,Rural,5.81,6.07,53.11,40.82
48381,County_48381,West Virginia,Rural,9.92,9.91,44.34,45.76
39709,County_39709,Rhode Island,Suburban/Small City,9.28,10.31,44.12,45.57
40223,County_40223,South Carolina,Rural,6.35,6.86,51.95,41.19
9441,County_9441,Florida,Urban,5.48,5.85,46.9,47.25
14423,County_14423,Indiana,Rural,3.05,3.43,58.31,38.26
30565,County_30565,New Jersey,Urban,3.24,4.1,50.98,44.92
23479,County_23479,Minnesota,Urban,5.65,5.75,56.86,37.39
49315,County_49315,Wisconsin,Urban,9.67,9.81,42.78,47.41
41105,County_41105,South Dakota,Urban,10.87,10.82,46.84,42.34
46793,County_46793,Virginia,Rural,12.02,12.22,42.55,45.23
44109,County_44109,Utah,Urban,13.03,13.72,,45.59
2933,County_2933,Alaska,Rural,13.22,13.0,46.13,40.87
9957,County_9957,Florida,Urban,8.47,8.65,41.68,49.66
2787,County_2787,Alaska,Rural,15.62,14.83,44.2,40.96
34335,County_34335,North Dakota,Urban,8.14,8.34,54.74,36.92
54463,County_54463,Other,Rural,11.35,12.35,51.4,36.26
46583,County_46583,Virginia,Urban,9.35,9.82,43.67,46.51
1573,County_1573,Alabama,Urban,18.14,18.9,36.67,44.43
13057,County_13057,Illinois,Rural,10.27,9.85,39.07,51.08
54617,County_54617,Other,Rural,4.37,4.41,55.23,40.36
8265,County_8265,Delaware,Rural,11.18,10.25,54.48,35.26
51595,County_51595,Other,Rural,12.24,12.57,40.76,46.67
12079,County_12079,Idaho,Rural,10.9,11.81,44.92,43.28
51677,County_51677,Other,Rural,15.22,14.99,41.92,43.09
28493,County_28493,Nevada,Rural,12.33,12.69,49.61,37.69
14961,County_14961,Indiana,Suburban/Small City,1.25,2.12,63.2,34.67
3159,County_3159,Arizona,Urban,3.85,3.6,53.42,42.98
55607,County_55607,Other,Rural,8.47,7.99,39.75,52.26
24679,County_24679,Mississippi,Urban,13.02,,39.08,46.97
21725,County_21725,Massachusetts,Urban,3.81,3.98,48.03,47.99
42897,County_42897,Tennessee,Rural,14.12,14.67,40.76,44.57
41827,County_41827,South Dakota,Suburban/Small City,10.89,10.83,51.88,37.29
30667,County_30667,New Jersey,Urban,13.2,13.7,40.49,45.8
53823,County_53823,Other,Suburban/Small City,9.84,9.73,50.43,39.84
23893,County_23893,Minnesota,Suburban/Small City,14.05,14.7,,43.15
24639,County_24639,Mississippi,Urban,15.73,15.7,,54.3
4315,County_4315,Arkansas,Rural,16.65,17.25,38.94,43.81
4071,County_4071,Arkansas,Urban,4.65,4.64,54.17,41.19
43065,County_43065,Texas,Urban,12.06,13.26,36.3,50.44
12669,County_12669,Idaho,Suburban/Small City,13.71,14.55,,47.17
48991,County_48991,West Virginia,Rural,11.48,12.49,45.09,42.42
21949,County_21949,Massachusetts,Suburban/Small City,2.33,3.08,46.36,50.56
27501,County_27501,Nebraska,Rural,6.06,5.74,53.2,41.06
6159,County_6159,Colorado,Rural,9.87,9.9,46.13,43.98
49449,County_49449,Wisconsin,Rural,6.74,7.04,50.23,42.73
39353,County_39353,Rhode Island,Rural,13.34,14.12,46.56,39.32
52567,County_52567,Other,Rural,15.94,16.34,43.82,39.84
2535,County_2535,Alaska,Urban,9.16,8.54,40.66,50.79
48527,County_48527,West Virginia,Urban,5.75,6.14,49.78,44.09
26307,County_26307,Montana,Suburban/Small City,15.8,15.43,51.19,33.38
33007,County_33007,North Carolina,Rural,5.65,6.09,48.25,45.66
55595,County_55595,Other,Urban,10.91,11.07,56.16,32.78
20833,County_20833,Maryland,Suburban/Small City,8.26,8.5,35.4,56.1
52685,County_52685,Other,Urban,13.41,13.96,,
